stage	recipe	module	class	worst_arrival_ps	area_um2
mapped	default	mul24_mac_replay_candidate_default	candidate	10140.0	19884.07
mapped	default	mul24_mac_replay_norules_default	ablation	11250.0	19653.85
mapped	default	mul24_mac_arrival_dadda_sklansky_mux_default	arrival_control	10340.0	19768.96
mapped	default	mul24_mac_arrival_dadda_koggestone_mux_default	arrival_control	8030.0	21127.76
mapped	default	mul24_mac_arrival_fullnoha_brentkung_mux_default	arrival_control	11860.0	19611.31
mapped	classic	mul24_mac_replay_candidate_classic	candidate	6640.0	30415.42
mapped	classic	mul24_mac_arrival_dadda_sklansky_mux_classic	arrival_control	6450.0	30619.37
mapped	classic	mul24_mac_arrival_dadda_brentkung_mux_classic	arrival_control	5640.0	30678.17
mapped	classic	mul24_mac_arrival_fullnoha_brentkung_mux_classic	arrival_control	7300.0	23867.89
mapped	classic	mul24_mac_arrival_fullnoha_koggestone_mux_classic	arrival_control	7120.0	25131.60
global-route	default	mul24_mac_replay_candidate_default	candidate	15250.0	19884
global-route	default	mul24_mac_replay_norules_default	ablation	17350.0	19654
global-route	default	mul24_mac_arrival_dadda_sklansky_mux_default	arrival_control	15490.0	19769
global-route	default	mul24_mac_arrival_dadda_koggestone_mux_default	arrival_control	11850.0	21128
global-route	default	mul24_mac_arrival_fullnoha_brentkung_mux_default	arrival_control	17420.0	19611
global-route	classic	mul24_mac_replay_candidate_classic	candidate	11600.0	30415
global-route	classic	mul24_mac_arrival_dadda_sklansky_mux_classic	arrival_control	11130.0	30619
global-route	classic	mul24_mac_arrival_dadda_sklansky_xormaj_classic	arrival_control	10300.0	38636
global-route	classic	mul24_mac_arrival_dadda_brentkung_mux_classic	arrival_control	10370.0	30678
global-route	classic	mul24_mac_arrival_fullnoha_brentkung_mux_classic	arrival_control	12820.0	23868
global-route	classic	mul24_mac_arrival_fullnoha_koggestone_mux_classic	arrival_control	12160.0	25132
